resume_text,job_description,match_score,matched_skills,missing_skills,fit_category
"Rohit is a AI Engineer professional based in Kochi with 2 years of experience. Education: B.Tech in Computer Science. Skills include Git, TensorFlow, FastAPI, NLP. Experience includes process unstructured data, train deep learning models.","We are hiring a AI Engineer. Required skills: Git, PyTorch, Scikit-learn, Computer Vision, FastAPI, TensorFlow, Python, Transformers. Responsibilities include deploy inference services, train deep learning models, develop AI solutions. The role requires approximately 0+ years of relevant experience.",45,"Git, FastAPI, TensorFlow","PyTorch, Scikit-learn, Computer Vision, Python, Transformers",No Fit
"Ishita is a Full Stack Developer professional based in Pune with 7 years of experience. Education: M.Sc. in Data Science. Skills include REST API, JavaScript, HTML, React, SQL, Python, CSS. Experience includes integrate databases, create backend APIs.","We are hiring a Full Stack Developer. Required skills: Git, Docker, Python, REST API, JavaScript, SQL, HTML. Responsibilities include create backend APIs, develop frontend components, integrate databases. The role requires approximately 0+ years of relevant experience.",78,"Python, REST API, JavaScript, SQL, HTML","Git, Docker",Good Fit
"Kiran is a Data Analyst professional based in Mysuru with 0 years of experience. Education: B.Sc. in Computer Science. Skills include Data Visualization, SQL, Power BI, Python, Matplotlib. Experience includes build dashboards, analyze business data.","We are hiring a Data Analyst. Required skills: Python, Data Visualization, Excel, Data Cleaning, Statistics. Responsibilities include build dashboards, analyze business data, write SQL queries. The role requires approximately 4+ years of relevant experience.",31,"Python, Data Visualization","Excel, Data Cleaning, Statistics",No Fit
"Neha is a Cloud Engineer professional based in Mysuru with 7 years of experience. Education: M.Sc. in Data Science. Skills include Terraform, Docker. Experience includes manage cloud infrastructure, monitor systems.","We are hiring a Cloud Engineer. Required skills: Kubernetes, Git, AWS, CI/CD, Docker, Python. Responsibilities include manage cloud infrastructure, monitor systems, automate deployments. The role requires approximately 4+ years of relevant experience.",28,Docker,"Kubernetes, Git, AWS, CI/CD, Python",No Fit
"Ananya is a Data Analyst professional based in Noida with 6 years of experience. Education: B.Tech in Computer Science. Skills include Data Visualization, Matplotlib, Tableau, Statistics, Excel, Data Cleaning, SQL, Power BI, Pandas. Experience includes build dashboards, analyze business data.","We are hiring a Data Analyst. Required skills: SQL, Statistics, Data Visualization, Matplotlib, Tableau, Pandas, Python, Data Cleaning. Responsibilities include analyze business data, build dashboards, identify trends. The role requires approximately 3+ years of relevant experience.",90,"SQL, Statistics, Data Visualization, Matplotlib, Tableau, Pandas, Data Cleaning",Python,Good Fit
"Rahul is a Backend Developer professional based in Delhi with 2 years of experience. Education: M.Sc. in Data Science. Skills include Git, Unit Testing. Experience includes design APIs, implement authentication.","We are hiring a Backend Developer. Required skills: Unit Testing, PostgreSQL, REST API, Spring Boot, Java. Responsibilities include optimize database queries, implement authentication, design APIs. The role requires approximately 0+ years of relevant experience.",35,Unit Testing,"PostgreSQL, REST API, Spring Boot, Java",No Fit
"Vikram is a Cloud Engineer professional based in Delhi with 1 years of experience. Education: B.Tech in Computer Science. Skills include Azure, Terraform, AWS. Experience includes manage cloud infrastructure, configure containerized services.","We are hiring a Cloud Engineer. Required skills: Azure, Terraform, Git, Python, CI/CD. Responsibilities include manage cloud infrastructure, monitor systems, automate deployments. The role requires approximately 0+ years of relevant experience.",47,"Azure, Terraform","Git, Python, CI/CD",No Fit
"Aarav is a Backend Developer professional based in Hyderabad with 4 years of experience. Education: B.Sc. in Computer Science. Skills include Redis, SQL, Python, Unit Testing, Java, Spring Boot, Docker, PostgreSQL, Git. Experience includes develop scalable backend services, implement authentication.","We are hiring a Backend Developer. Required skills: Java, Redis, REST API, Python, PostgreSQL. Responsibilities include design APIs, develop scalable backend services, optimize database queries. The role requires approximately 1+ years of relevant experience.",87,"Java, Redis, Python, PostgreSQL",REST API,Good Fit
"Nikhil is a Data Analyst professional based in Mumbai with 5 years of experience. Education: B.E. in Information Technology. Skills include Power BI, Matplotlib, Python, Statistics, Data Visualization, Pandas. Experience includes write SQL queries, analyze business data.","We are hiring a Data Analyst. Required skills: Excel, Pandas, Matplotlib, Tableau, Data Visualization. Responsibilities include analyze business data, write SQL queries, build dashboards. The role requires approximately 4+ years of relevant experience.",64,"Pandas, Matplotlib, Data Visualization","Excel, Tableau",Potential Fit
"Meera is a ML Engineer professional based in Hyderabad with 5 years of experience. Education: M.Sc. in Data Science. Skills include Scikit-learn, Docker, Git. Experience includes develop machine learning pipelines, deploy models as APIs.","We are hiring a ML Engineer. Required skills: Machine Learning, Git, Docker, TensorFlow, PyTorch, FastAPI, AWS, Scikit-learn. Responsibilities include prepare training data, develop machine learning pipelines, monitor model performance. The role requires approximately 0+ years of relevant experience.",49,"Git, Docker, Scikit-learn","Machine Learning, TensorFlow, PyTorch, FastAPI, AWS",No Fit
"Ishita is a Data Scientist professional based in Mumbai with 6 years of experience. Education: M.Sc. in Data Science. Skills include Python, Pandas, Statistics, NumPy, TensorFlow, Power BI, Scikit-learn, Machine Learning, SQL. Experience includes build predictive models, create data visualizations.","We are hiring a Data Scientist. Required skills: TensorFlow, Statistics, Power BI, SQL, Machine Learning. Responsibilities include clean and analyze datasets, perform statistical analysis, build predictive models. The role requires approximately 1+ years of relevant experience.",97,"TensorFlow, Statistics, Power BI, SQL, Machine Learning",None,Good Fit
"Sanjay is a Cloud Engineer professional based in Mysuru with 7 years of experience. Education: M.Sc. in Data Science. Skills include Docker, Python, Terraform, Networking, Kubernetes, AWS, CI/CD, Git. Experience includes configure containerized services, manage cloud infrastructure.","We are hiring a Cloud Engineer. Required skills: Python, Docker, CI/CD, Git, Terraform, Networking. Responsibilities include monitor systems, manage cloud infrastructure, automate deployments. The role requires approximately 5+ years of relevant experience.",100,"Python, Docker, CI/CD, Git, Terraform, Networking",None,Good Fit
"Neha is a Cloud Engineer professional based in Mumbai with 3 years of experience. Education: M.Tech in Artificial Intelligence. Skills include Linux, AWS, CI/CD, Docker, Terraform, Networking, Git. Experience includes configure containerized services, monitor systems.","We are hiring a Cloud Engineer. Required skills: Kubernetes, Azure, Git, Linux, Python. Responsibilities include automate deployments, monitor systems, configure containerized services. The role requires approximately 3+ years of relevant experience.",52,"Git, Linux","Kubernetes, Azure, Python",Potential Fit
"Nikhil is a Full Stack Developer professional based in Pune with 0 years of experience. Education: B.Tech in Computer Science. Skills include Git, Docker, React, JavaScript, SQL, REST API. Experience includes integrate databases, develop frontend components.","We are hiring a Full Stack Developer. Required skills: HTML, REST API, CSS, Python, React, Docker, JavaScript, Git. Responsibilities include build responsive web applications, create backend APIs, develop frontend components. The role requires approximately 1+ years of relevant experience.",48,"REST API, React, Docker, JavaScript, Git","HTML, CSS, Python",No Fit
"Aditya is a Cloud Engineer professional based in Noida with 7 years of experience. Education: B.E. in Information Technology. Skills include Python, Azure, Linux, Git, Networking, Terraform, AWS, Kubernetes, Docker. Experience includes automate deployments, configure containerized services.","We are hiring a Cloud Engineer. Required skills: Python, Git, AWS, Terraform, Azure, Kubernetes, Networking. Responsibilities include manage cloud infrastructure, automate deployments, configure containerized services. The role requires approximately 4+ years of relevant experience.",100,"Python, Git, AWS, Terraform, Azure, Kubernetes, Networking",None,Good Fit
"Kiran is a Python Developer professional based in Delhi with 6 years of experience. Education: B.Sc. in Computer Science. Skills include FastAPI, Flask, Django, PostgreSQL, Unit Testing, Python, SQL, Git. Experience includes write Python code, design REST APIs.","We are hiring a Python Developer. Required skills: Flask, SQL, PostgreSQL, Django, REST API, Python. Responsibilities include integrate databases, write Python code, design REST APIs. The role requires approximately 0+ years of relevant experience.",85,"Flask, SQL, PostgreSQL, Django, Python",REST API,Good Fit
"Kavya is a Full Stack Developer professional based in Mumbai with 5 years of experience. Education: B.Sc. in Computer Science. Skills include SQL, CSS, JavaScript, REST API. Experience includes integrate databases, build responsive web applications.","We are hiring a Full Stack Developer. Required skills: SQL, Git, Node.js, JavaScript, CSS. Responsibilities include develop frontend components, integrate databases, create backend APIs. The role requires approximately 3+ years of relevant experience.",68,"SQL, JavaScript, CSS","Git, Node.js",Potential Fit
"Meera is a ML Engineer professional based in Bengaluru with 2 years of experience. Education: M.Tech in Artificial Intelligence. Skills include Machine Learning, FastAPI, AWS, Python, Git, Docker, TensorFlow, SQL, PyTorch. Experience includes prepare training data, develop machine learning pipelines.","We are hiring a ML Engineer. Required skills: TensorFlow, Docker, Python, Git, Scikit-learn, PyTorch, Machine Learning, FastAPI. Responsibilities include develop machine learning pipelines, monitor model performance, prepare training data. The role requires approximately 0+ years of relevant experience.",93,"TensorFlow, Docker, Python, Git, PyTorch, Machine Learning, FastAPI",Scikit-learn,Good Fit
"Ishita is a Python Developer professional based in Bengaluru with 4 years of experience. Education: M.Tech in Artificial Intelligence. Skills include PostgreSQL, Python, Unit Testing, Flask, REST API. Experience includes develop backend services, design REST APIs.","We are hiring a Python Developer. Required skills: REST API, PostgreSQL, Flask, FastAPI, Git, Django, Unit Testing, SQL. Responsibilities include integrate databases, develop backend services, design REST APIs. The role requires approximately 3+ years of relevant experience.",58,"REST API, PostgreSQL, Flask, Unit Testing","FastAPI, Git, Django, SQL",Potential Fit
"Kiran is a Data Scientist professional based in Hyderabad with 0 years of experience. Education: M.Tech in Artificial Intelligence. Skills include NumPy, SQL, Matplotlib, Pandas, Python. Experience includes clean and analyze datasets, create data visualizations.","We are hiring a Data Scientist. Required skills: Statistics, Pandas, Power BI, NumPy, Python, Machine Learning, Matplotlib. Responsibilities include build predictive models, create data visualizations, clean and analyze datasets. The role requires approximately 4+ years of relevant experience.",47,"Pandas, NumPy, Python, Matplotlib","Statistics, Power BI, Machine Learning",No Fit
"Neha is a Full Stack Developer professional based in Bengaluru with 5 years of experience. Education: B.E. in Information Technology. Skills include Node.js, Git, CSS. Experience includes integrate databases, create backend APIs.","We are hiring a Full Stack Developer. Required skills: REST API, SQL, Node.js, CSS, Python, HTML, React. Responsibilities include develop frontend components, create backend APIs, build responsive web applications. The role requires approximately 5+ years of relevant experience.",40,"Node.js, CSS","REST API, SQL, Python, HTML, React",No Fit
"Arjun is a Data Scientist professional based in Pune with 7 years of experience. Education: MCA. Skills include NumPy, Statistics. Experience includes create data visualizations, perform statistical analysis.","We are hiring a Data Scientist. Required skills: TensorFlow, Scikit-learn, Pandas, Matplotlib, Python, Power BI. Responsibilities include create data visualizations, clean and analyze datasets, perform statistical analysis. The role requires approximately 5+ years of relevant experience.",18,None,"TensorFlow, Scikit-learn, Pandas, Matplotlib, Python, Power BI",No Fit
"Aditya is a AI Engineer professional based in Delhi with 2 years of experience. Education: B.E. in Information Technology. Skills include PyTorch, TensorFlow, NLP, Deep Learning, Computer Vision, Transformers, Scikit-learn. Experience includes deploy inference services, develop AI solutions.","We are hiring a AI Engineer. Required skills: TensorFlow, PyTorch, Git, FastAPI, Scikit-learn, Deep Learning. Responsibilities include develop AI solutions, process unstructured data, train deep learning models. The role requires approximately 0+ years of relevant experience.",72,"TensorFlow, PyTorch, Scikit-learn, Deep Learning","Git, FastAPI",Potential Fit
"Arjun is a Cloud Engineer professional based in Delhi with 0 years of experience. Education: M.Tech in Artificial Intelligence. Skills include AWS, Terraform, Kubernetes. Experience includes automate deployments, configure containerized services.","We are hiring a Cloud Engineer. Required skills: Docker, CI/CD, Networking, Linux, Kubernetes. Responsibilities include automate deployments, configure containerized services, manage cloud infrastructure. The role requires approximately 1+ years of relevant experience.",20,Kubernetes,"Docker, CI/CD, Networking, Linux",No Fit
"Aditya is a ML Engineer professional based in Mysuru with 0 years of experience. Education: B.E. in Information Technology. Skills include Git, Docker, SQL, Python, AWS, Machine Learning. Experience includes prepare training data, deploy models as APIs.","We are hiring a ML Engineer. Required skills: SQL, Scikit-learn, FastAPI, PyTorch, Python. Responsibilities include prepare training data, monitor model performance, deploy models as APIs. The role requires approximately 1+ years of relevant experience.",35,"SQL, Python","Scikit-learn, FastAPI, PyTorch",No Fit
"Ishita is a Data Scientist professional based in Mysuru with 6 years of experience. Education: M.Tech in Artificial Intelligence. Skills include Matplotlib, NumPy, Scikit-learn, Python. Experience includes build predictive models, create data visualizations.","We are hiring a Data Scientist. Required skills: Machine Learning, Statistics, Scikit-learn, Python, NumPy. Responsibilities include clean and analyze datasets, create data visualizations, build predictive models. The role requires approximately 4+ years of relevant experience.",70,"Scikit-learn, Python, NumPy","Machine Learning, Statistics",Potential Fit
"Arjun is a Data Scientist professional based in Delhi with 5 years of experience. Education: B.Sc. in Computer Science. Skills include Power BI, Python. Experience includes clean and analyze datasets, perform statistical analysis.","We are hiring a Data Scientist. Required skills: Scikit-learn, Statistics, NumPy, Pandas, TensorFlow. Responsibilities include clean and analyze datasets, perform statistical analysis, build predictive models. The role requires approximately 5+ years of relevant experience.",18,None,"Scikit-learn, Statistics, NumPy, Pandas, TensorFlow",No Fit
"Ananya is a ML Engineer professional based in Bengaluru with 3 years of experience. Education: M.Tech in Artificial Intelligence. Skills include Scikit-learn, Docker. Experience includes develop machine learning pipelines, deploy models as APIs.","We are hiring a ML Engineer. Required skills: SQL, Docker, Python, AWS, Git, FastAPI, Machine Learning, TensorFlow. Responsibilities include prepare training data, develop machine learning pipelines, monitor model performance. The role requires approximately 1+ years of relevant experience.",31,Docker,"SQL, Python, AWS, Git, FastAPI, Machine Learning, TensorFlow",No Fit
"Ananya is a ML Engineer professional based in Ahmedabad with 5 years of experience. Education: B.Tech in Computer Science. Skills include Machine Learning, Python, SQL, PyTorch, Scikit-learn. Experience includes deploy models as APIs, monitor model performance.","We are hiring a ML Engineer. Required skills: TensorFlow, Docker, Scikit-learn, AWS, Machine Learning, FastAPI, Git, PyTorch. Responsibilities include develop machine learning pipelines, monitor model performance, deploy models as APIs. The role requires approximately 5+ years of relevant experience.",45,"Scikit-learn, Machine Learning, PyTorch","TensorFlow, Docker, AWS, FastAPI, Git",No Fit
"Vikram is a ML Engineer professional based in Pune with 2 years of experience. Education: B.Tech in Computer Science. Skills include TensorFlow, AWS, FastAPI, Git, PyTorch, Python, Docker, SQL. Experience includes monitor model performance, deploy models as APIs.","We are hiring a ML Engineer. Required skills: Python, FastAPI, Machine Learning, SQL, TensorFlow, PyTorch, Docker, Scikit-learn. Responsibilities include monitor model performance, prepare training data, develop machine learning pipelines. The role requires approximately 1+ years of relevant experience.",81,"Python, FastAPI, SQL, TensorFlow, PyTorch, Docker","Machine Learning, Scikit-learn",Good Fit
"Ishita is a Backend Developer professional based in Bengaluru with 2 years of experience. Education: M.Tech in Artificial Intelligence. Skills include Git, REST API, Redis, SQL, Python, Unit Testing, Docker, Java. Experience includes optimize database queries, develop scalable backend services.","We are hiring a Backend Developer. Required skills: Git, Redis, Spring Boot, Python, Docker, Unit Testing. Responsibilities include optimize database queries, develop scalable backend services, design APIs. The role requires approximately 2+ years of relevant experience.",86,"Git, Redis, Python, Docker, Unit Testing",Spring Boot,Good Fit
"Aditya is a Full Stack Developer professional based in Kochi with 6 years of experience. Education: B.Sc. in Computer Science. Skills include React, Node.js, Python, REST API, CSS, Git, HTML. Experience includes integrate databases, develop frontend components.","We are hiring a Full Stack Developer. Required skills: HTML, React, Node.js, SQL, Python. Responsibilities include build responsive web applications, integrate databases, create backend APIs. The role requires approximately 0+ years of relevant experience.",82,"HTML, React, Node.js, Python",SQL,Good Fit
"Ishita is a Full Stack Developer professional based in Hyderabad with 4 years of experience. Education: B.Tech in Computer Science. Skills include Node.js, JavaScript, Git, Docker. Experience includes create backend APIs, develop frontend components.","We are hiring a Full Stack Developer. Required skills: Python, HTML, Node.js, JavaScript, Docker, SQL. Responsibilities include integrate databases, develop frontend components, create backend APIs. The role requires approximately 5+ years of relevant experience.",59,"Node.js, JavaScript, Docker","Python, HTML, SQL",Potential Fit
"Meera is a Data Analyst professional based in Bengaluru with 2 years of experience. Education: M.Tech in Artificial Intelligence. Skills include Matplotlib, Data Visualization, Python, Statistics. Experience includes build dashboards, analyze business data.","We are hiring a Data Analyst. Required skills: Tableau, Data Cleaning, Data Visualization, Statistics, Matplotlib. Responsibilities include build dashboards, analyze business data, identify trends. The role requires approximately 0+ years of relevant experience.",69,"Data Visualization, Statistics, Matplotlib","Tableau, Data Cleaning",Potential Fit
"Ananya is a Data Analyst professional based in Hyderabad with 2 years of experience. Education: MCA. Skills include Python, SQL, Matplotlib, Data Visualization, Tableau, Pandas. Experience includes identify trends, build dashboards.","We are hiring a Data Analyst. Required skills: Tableau, Pandas, Power BI, Data Visualization, Data Cleaning, SQL, Statistics. Responsibilities include analyze business data, write SQL queries, identify trends. The role requires approximately 4+ years of relevant experience.",55,"Tableau, Pandas, Data Visualization, SQL","Power BI, Data Cleaning, Statistics",Potential Fit
"Sanjay is a Data Scientist professional based in Bengaluru with 7 years of experience. Education: M.Sc. in Data Science. Skills include SQL, Matplotlib, Power BI, Python, NumPy. Experience includes create data visualizations, clean and analyze datasets.","We are hiring a Data Scientist. Required skills: Machine Learning, Scikit-learn, Pandas, NumPy, Statistics, SQL. Responsibilities include perform statistical analysis, build predictive models, clean and analyze datasets. The role requires approximately 1+ years of relevant experience.",48,"NumPy, SQL","Machine Learning, Scikit-learn, Pandas, Statistics",No Fit
"Ishita is a ML Engineer professional based in Pune with 2 years of experience. Education: M.Sc. in Data Science. Skills include AWS, SQL, Machine Learning, FastAPI. Experience includes monitor model performance, deploy models as APIs.","We are hiring a ML Engineer. Required skills: FastAPI, Machine Learning, Git, SQL, AWS, Python, Docker, TensorFlow. Responsibilities include monitor model performance, develop machine learning pipelines, prepare training data. The role requires approximately 0+ years of relevant experience.",56,"FastAPI, Machine Learning, SQL, AWS","Git, Python, Docker, TensorFlow",Potential Fit
"Priya is a Data Scientist professional based in Kochi with 1 years of experience. Education: B.Tech in Computer Science. Skills include Machine Learning, Scikit-learn, SQL, Matplotlib, Pandas, NumPy. Experience includes clean and analyze datasets, create data visualizations.","We are hiring a Data Scientist. Required skills: Power BI, Python, Machine Learning, NumPy, SQL, Pandas, Scikit-learn. Responsibilities include clean and analyze datasets, perform statistical analysis, build predictive models. The role requires approximately 5+ years of relevant experience.",65,"Machine Learning, NumPy, SQL, Pandas, Scikit-learn","Power BI, Python",Potential Fit
"Aarav is a Python Developer professional based in Mysuru with 3 years of experience. Education: B.Tech in Computer Science. Skills include FastAPI, SQL, Flask, PostgreSQL, Django, Git. Experience includes design REST APIs, develop backend services.","We are hiring a Python Developer. Required skills: FastAPI, Django, PostgreSQL, Flask, REST API. Responsibilities include develop backend services, design REST APIs, integrate databases. The role requires approximately 0+ years of relevant experience.",84,"FastAPI, Django, PostgreSQL, Flask",REST API,Good Fit
"Nikhil is a AI Engineer professional based in Mumbai with 4 years of experience. Education: B.E. in Information Technology. Skills include Git, PyTorch, Python, FastAPI, Computer Vision, NLP. Experience includes develop AI solutions, process unstructured data.","We are hiring a AI Engineer. Required skills: TensorFlow, PyTorch, NLP, Transformers, Git. Responsibilities include train deep learning models, develop AI solutions, process unstructured data. The role requires approximately 2+ years of relevant experience.",67,"PyTorch, NLP, Git","TensorFlow, Transformers",Potential Fit
"Rohit is a Backend Developer professional based in Pune with 8 years of experience. Education: B.Sc. in Computer Science. Skills include Unit Testing, Java, REST API, Spring Boot, Python. Experience includes optimize database queries, implement authentication.","We are hiring a Backend Developer. Required skills: Java, Docker, Spring Boot, Git, PostgreSQL. Responsibilities include develop scalable backend services, optimize database queries, design APIs. The role requires approximately 1+ years of relevant experience.",48,"Java, Spring Boot","Docker, Git, PostgreSQL",No Fit
"Ishita is a AI Engineer professional based in Pune with 0 years of experience. Education: B.Tech in Computer Science. Skills include PyTorch, Git, Deep Learning, Scikit-learn, TensorFlow, NLP, FastAPI, Computer Vision. Experience includes deploy inference services, process unstructured data.","We are hiring a AI Engineer. Required skills: PyTorch, Python, NLP, Git, TensorFlow, Scikit-learn. Responsibilities include develop AI solutions, process unstructured data, train deep learning models. The role requires approximately 5+ years of relevant experience.",69,"PyTorch, NLP, Git, TensorFlow, Scikit-learn",Python,Potential Fit
"Kiran is a Cloud Engineer professional based in Ahmedabad with 3 years of experience. Education: B.Tech in Computer Science. Skills include Linux, Kubernetes, Git. Experience includes automate deployments, manage cloud infrastructure.","We are hiring a Cloud Engineer. Required skills: CI/CD, Docker, Terraform, Git, Azure, Linux. Responsibilities include manage cloud infrastructure, configure containerized services, automate deployments. The role requires approximately 2+ years of relevant experience.",46,"Git, Linux","CI/CD, Docker, Terraform, Azure",No Fit
"Rahul is a Python Developer professional based in Noida with 4 years of experience. Education: M.Tech in Artificial Intelligence. Skills include PostgreSQL, Git, FastAPI. Experience includes design REST APIs, write Python code.","We are hiring a Python Developer. Required skills: REST API, Flask, FastAPI, SQL, Git, PostgreSQL, Python. Responsibilities include design REST APIs, develop backend services, write Python code. The role requires approximately 5+ years of relevant experience.",53,"FastAPI, Git, PostgreSQL","REST API, Flask, SQL, Python",Potential Fit
"Neha is a Data Analyst professional based in Hyderabad with 8 years of experience. Education: B.E. in Information Technology. Skills include Data Visualization, Power BI, Data Cleaning, SQL, Statistics, Excel, Matplotlib. Experience includes identify trends, build dashboards.","We are hiring a Data Analyst. Required skills: Matplotlib, Power BI, Data Cleaning, Statistics, Excel, SQL, Tableau. Responsibilities include write SQL queries, build dashboards, identify trends. The role requires approximately 3+ years of relevant experience.",89,"Matplotlib, Power BI, Data Cleaning, Statistics, Excel, SQL",Tableau,Good Fit
"Ishita is a Full Stack Developer professional based in Ahmedabad with 7 years of experience. Education: B.E. in Information Technology. Skills include SQL, HTML, JavaScript. Experience includes develop frontend components, integrate databases.","We are hiring a Full Stack Developer. Required skills: Python, CSS, Docker, Node.js, HTML, Git. Responsibilities include develop frontend components, integrate databases, build responsive web applications. The role requires approximately 0+ years of relevant experience.",30,HTML,"Python, CSS, Docker, Node.js, Git",No Fit
"Rohit is a Backend Developer professional based in Mumbai with 0 years of experience. Education: MCA. Skills include Redis, Docker, Git, Unit Testing, REST API, Python, Java. Experience includes implement authentication, optimize database queries.","We are hiring a Backend Developer. Required skills: REST API, SQL, PostgreSQL, Python, Java. Responsibilities include optimize database queries, design APIs, develop scalable backend services. The role requires approximately 2+ years of relevant experience.",45,"REST API, Python, Java","SQL, PostgreSQL",No Fit
"Rahul is a Backend Developer professional based in Chennai with 3 years of experience. Education: B.E. in Information Technology. Skills include Java, REST API. Experience includes implement authentication, optimize database queries.","We are hiring a Backend Developer. Required skills: Python, SQL, REST API, Spring Boot, Redis, Unit Testing, PostgreSQL, Git. Responsibilities include develop scalable backend services, optimize database queries, implement authentication. The role requires approximately 5+ years of relevant experience.",20,REST API,"Python, SQL, Spring Boot, Redis, Unit Testing, PostgreSQL, Git",No Fit
